timestamp,water_temp,oat,heater_state,pump_state,pump_speed,waterfall_state,forecast_high,swimming_day
2026-04-11 01:00:00,85,64,on,on,77,off,82.0,Yes
2026-04-11 01:10:00,85,64,on,on,77,off,81.0,Yes
2026-04-11 01:20:00,85,64,on,on,77,off,81.0,Yes
2026-04-11 01:30:00,86,63,on,on,77,off,81.0,Yes
2026-04-11 01:40:00,86,63,on,on,77,off,81.0,Yes
2026-04-11 01:50:00,86,63,on,on,77,off,81.0,Yes
2026-04-11 02:00:00,86,63,on,on,77,off,81.0,Yes
2026-04-11 02:10:00,86,63,on,on,77,off,81.0,Yes
2026-04-11 02:20:00,86,63,on,on,77,off,81.0,Yes
2026-04-11 02:30:00,86,61,on,on,77,off,81.0,Yes
2026-04-11 02:40:00,86,61,on,on,77,off,81.0,Yes
2026-04-11 02:50:00,86,61,on,on,77,off,81.0,Yes
2026-04-11 03:00:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 03:10:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 03:20:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 03:30:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 03:40:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 03:50:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 04:00:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 04:10:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 04:20:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 04:30:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 04:40:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 04:50:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 05:00:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 05:10:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 05:20:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 05:30:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 05:40:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 05:50:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 06:00:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 06:10:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 06:20:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 06:30:00,89,59,on,on,77,off,81.0,Yes
2026-04-11 06:40:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 06:50:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 07:00:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 07:10:00,89,61,on,on,77,off,81.0,Yes
